id,heuristic,template,subtemplate_id,label,premise,hypothesis,high_quality,extreme_low_quality,var_list,example_premise,example_hypotheis,example_high_quality,example_extreme_low_quality
10,lexical_overlap,le_relative_clause,2,entailment,the N1 Vt1 the N2 Rels1 Vt2 the N3.,the N2 Vt2 the N3.,the N2 is the subject of the relative clause Rels1 Vt2 the N3.,N2 Vt2 N3,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3']",the doctor supported the athlete that affected the programmer .,the athlete affected the programmer .,the athlete is the subject of the relative clause that affected the programmer .,athlete affected programmer
11,lexical_overlap,le_relative_clause,3,entailment,the N1 Vt1 the N2 Rels1 the N3 Vt2.,the N3 Vt2 the N2.,the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2.,N2 N3 Vt2,"['N1', 'Vt1', 'Vt2', 'N2', 'Rels1', 'N3', 'N2_Be1']",the doctor mentioned the musicians that the presidents contacted .,the presidents contacted the musicians .,the musicians are the object of the relative clause that the presidents contacted .,musicians presidents contacted
12,lexical_overlap,ln_preposition,0,neutral,the N1 P1 the N2 Vt1 the N3.,the N2 Vt1 the N1.,"the N1 Vt1 the N3 and the N1 N1_Be1 P1 the N2 , we do not know whether the N2 Vt1 the N1.",N1 Vt1 N3 N1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1']",the actor behind the writer advised the strategists .,the writer advised the actor .,"the actor advised the strategists, we do not know whether the writer advised the actor .",actor advised strategists
13,lexical_overlap,ln_preposition,1,neutral,the N1 P1 the N2 Vt1 the N3.,the N3 Vt1 the N1.,"the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N1.",N1 Vt1 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the technologist in front of the psychotherapist recognized the planners .,the planners recognized the technologist .,"the technologist recognized the planners, we do not know whether the planners recognized the technologist .",technologist recognized planners not know planners recognized technologist
14,lexical_overlap,ln_preposition,2,neutral,the N1 P1 the N2 Vt1 the N3.,the N3 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 N2_Be1 P1 the N1 , we do not know whether the N3 Vt1 the N2.",N1 Vt1 N3 N2 N1 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N2_Be1']",the artisan by the strategist expected the psychiatrists .,the psychiatrists expected the strategist .,"the artisan expected the psychiatrists, we do not know whether the psychiatrists expected the strategist .",artisan expected psychiatrists
15,lexical_overlap,ln_preposition,3,neutral,the N1 Vt1 the N2 P1 the N3.,the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.",N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1']",the doctors helped the musicians behind the bankers .,the musicians helped the doctors .,"the doctors helped the musicians, we do not know whether the musicians helped the doctors .",doctors helped musicians not know musicians helped doctors
16,lexical_overlap,ln_preposition,4,neutral,the N1 Vt1 the N2 P1 the N3.,the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N2 Vt1 the N3.",N1 Vt1 N2 N2 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the artisan saw the judge next to the musician .,the judge saw the musician .,the judge next to the musician does not imply the judge saw the musician .,artisan not judge
17,lexical_overlap,ln_preposition,5,neutral,the N1 Vt1 the N2 P1 the N3.,the N3 Vt1 the N1.,"the N1 Vt1 the N2 and the N2 N2_Be2 P1 the N3 , we do not know whether the N3 Vt1 the N1.",N1 Vt1 N2 N2 N3 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'P1', 'N1_Be1', 'N2_Be2']",the animators recognized the curator by the professor .,the professor recognized the animators .,the animators recognized the curator by the professor does not imply the professor recognized the animators .,animators not professor
18,lexical_overlap,ln_relative_clause,0,neutral,the N1 Rels1 the N2 Vt1 Vt2 the N3.,the N2 Vt2 the N1.,"Rels1 in Rels1 the N2 Vt1 refers to the N1 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.",N2 Vt1 N1 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the student who the bakers admired contacted the curator .,the bakers contacted the student .,the bakers admired the student and the student contacted the curator .,student contacted curator
19,lexical_overlap,ln_relative_clause,1,neutral,the N1 Rels1 the N2 Vt1 Vt2 the N3.,the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.",N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the pencillers who the authors recommended addressed the analysts .,the analysts addressed the pencillers .,the pencillers addressed the analysts does not imply the analysts addressed the pencillers .,pencillers addressed analysts
20,lexical_overlap,ln_relative_clause,2,neutral,the N1 Rels1 the N2 Vt1 Vt2 the N3.,the N3 Vt1 the N2.,"the N1 N1_Be1 the object of the relative clause Rels1 the N2 Vt1 and the N1 Vt2 the N3 , we do not know whether the N3 Vt1 the N2.",N1 N2 Vt1 N1 Vt2 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the counselors that the curator helped brought the actors .,the actors helped the curator .,the curator helped the counselors and the counselors brought the actors does not imply the actors helped the curator .,curator helped counselors
21,lexical_overlap,ln_relative_clause,3,neutral,the N1 Rels1 Vt1 the N2 Vt2 the N3.,the N2 Vt2 the N1.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N2 Vt2 the N1.",N1 Vt1 N2 N1 Vt2 N3 not know N2 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the student that supported the singers supported the artisan .,the singers supported the student .,the student supported the singers does not imply the singers supported the student .,student supported singers
22,lexical_overlap,ln_relative_clause,4,neutral,the N1 Rels1 Vt1 the N2 Vt2 the N3.,the N3 Vt2 the N1.,"the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N1.",N1 Vt2 N3 not know N3 Vt2 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the workers that thanked the artisans advised the psychiatrist .,the psychiatrist advised the workers .,the workers advised the psychiatrist does not imply the psychiatrist advised the workers .,workers advised psychiatrist
23,lexical_overlap,ln_relative_clause,5,neutral,the N1 Rels1 Vt1 the N2 Vt2 the N3.,the N3 Vt2 the N2.,"the N1 N1_Be1 the subject of the relative clause Rels1 Vt1 the N2 and the N1 Vt2 the N3 , we do not know whether the N3 Vt2 the N2.",N1 Vt1 N2 N1 Vt2 N3 not know N3 Vt2 N2,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N1_Be1']",the tourists that encouraged the actors encouraged the judges .,the judges encouraged the actors .,the tourists encouraged the judges and encouraged the actors does not imply the judges encouraged the actors .,tourists encouraged judges
24,lexical_overlap,ln_relative_clause,6,neutral,the N1 Vt1 the N2 Rels1 Vt2 the N3.,the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.",N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the animator recommended the writer who disturbed the musicians .,the writer recommended the animator .,the animator recommended the writer does not imply the writer recommended the animator .,animator recommended writer
25,lexical_overlap,ln_relative_clause,7,neutral,the N1 Vt1 the N2 Rels1 Vt2 the N3.,the N2 Vt1 the N3.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.",N2 Vt2 N3 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the bakers called the sculptor who recommended the actors .,the sculptor called the actors .,the bakers called the sculptor and the sculptor recommended the actors does not imply the sculptor called the actors .,bakers called sculptor
26,lexical_overlap,ln_relative_clause,8,neutral,the N1 Vt1 the N2 Rels1 Vt2 the N3.,the N3 Vt1 the N1.,"the N2 N2_Be1 the subject of the relative clause Rels1 Vt2 the N3 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.",N2 Vt2 N3 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the chaplains recognized the senators who brought the baker .,the baker recognized the chaplains .,the chaplains recognized the senators and the senators brought the baker does not imply the baker recognized the chaplains .,chaplains recognized senators
27,lexical_overlap,ln_relative_clause,9,neutral,the N1 Vt1 the N2 Rels1 the N3 Vt2.,the N2 Vt1 the N1.,"the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N1.",N1 Vt1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1']",the counselors introduced the athlete who the essayists offended .,the athlete introduced the counselors .,the counselors introduced the athlete does not imply the athlete introduced the counselors .,counselors introduced athlete
28,lexical_overlap,ln_relative_clause,10,neutral,the N1 Vt1 the N2 Rels1 the N3 Vt2.,the N2 Vt1 the N3.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N2 Vt1 the N3.",N2 N3 Vt2 N1 Vt1 N2 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the writers admired the artists who the nurse deceived .,the artists admired the nurse .,the writers admired the artists and the nurse deceived the artists does not imply the artists admired the nurse .,writers admired artists
29,lexical_overlap,ln_relative_clause,11,neutral,the N1 Vt1 the N2 Rels1 the N3 Vt2.,the N3 Vt1 the N1.,"the N2 N2_Be1 the object of the relative clause Rels1 the N3 Vt2 and the N1 Vt1 the N2 , we do not know whether the N3 Vt1 the N1.",N2 N3 Vt2 N1 Vt1 N2 not know N3 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1', 'Vt2', 'Rels1', 'N2_Be1']",the author disturbed the psychologists that the therapists encouraged .,the therapists disturbed the author .,the author disturbed the psychologists and the therapists encouraged the psychologists does not imply the therapists disturbed the author .,therapists encouraged psychologists
30,lexical_overlap,ln_passive,0,neutral,the Ns1 was Vt1 by the N2.,the Ns1 Vt1 the N2.,"Vt1 is the active form of was Vt1 by , so the N2 Vt1 the Ns1 , we do not know whether the Ns1 Vt1 the N2.",Vt1 Vt1 N2 Vt1 Ns1 not know Ns1 Vt1 N2,"['Ns1', 'N2', 'Vt1']",the tourist was recommended by the strategists .,the tourist recommended the strategists .,the tourist was recommended by the strategists means the strategists recommended the tourist .,strategists recommended tourist
31,lexical_overlap,ln_passive,1,neutral,the Np1 were Vt1 by the N2.,the Np1 Vt1 the N2.,"Vt1 is the active form of were Vt1 by , so the N2 Vt1 the Np1 , we do not know whether the Np1 Vt1 the N2.",Vt1 Vt1 N2 Vt1 Np1 not know Np1 Vt1 N2,"['Np1', 'N2', 'Vt1']",the photojournalists were brought by the scientist .,the photojournalists brought the scientist .,the photojournalists were brought by the scientist means the scientist brought the photojournalists .,scientist brought photojournalists
32,lexical_overlap,ln_conjunction,0,neutral,the N1 and the N2 Vt1 the N3.,the N1 Vt1 the N2.,"the N1 Vt1 the N3 and the N2 Vt1 the N3 , we do not know whether the N1 Vt1 the N2.",N1 Vt1 N3 N2 Vt1 N3 not know N1 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1']",the administrators and the artisan found the senator .,the administrators found the artisan .,the administrators found the senator and the artisan found the senator does not imply the administrators found the artisan .,administrators found senator
33,lexical_overlap,ln_conjunction,1,neutral,the N1 and the N2 Vt1 the N3.,the N2 Vt1 the N1.,"the N1 Vt1 the N3 and the N2 Vt1 the N3 , we do not know whether the N2 Vt1 the N1.",N1 Vt1 N3 N2 Vt1 N3 not know N2 Vt1 N1,"['N1', 'N2', 'N3', 'Vt1']",the directors and the chaplains disturbed the director .,the chaplains disturbed the directors .,the directors disturbed the director and the chaplains disturbed the director does not imply the chaplains disturbed the directors .,chaplains disturbed director
34,lexical_overlap,ln_conjunction,2,neutral,the N1 Vt1 the N2 and the N3.,the N2 Vt1 the N3.,"the N1 Vt1 the N2 and the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N3.",N1 Vt1 N2 N1 Vt1 N3 not know N2 Vt1 N3,"['N1', 'N2', 'N3', 'Vt1']",the animator encouraged the artisans and the doctors .,the artisans encouraged the doctors .,the animator encouraged the artisans and the animator encouraged the doctors does not imply the artisans encouraged the doctors .,animator encouraged doctors
35,lexical_overlap,ln_conjunction,3,neutral,the N1 Vt1 the N2 and the N3.,the N3 Vt1 the N2.,"the N1 Vt1 the N2 and the N1 Vt1 the N3 , we do not know whether the N3 Vt1 the N2.",N1 Vt1 N2 N1 Vt1 N3 not know N3 Vt1 N2,"['N1', 'N2', 'N3', 'Vt1']",the manager avoided the artists and the pencillers .,the pencillers avoided the artists .,the manager avoided the artists and the manager avoided the pencillers does not imply the pencillers avoided the artists .,manager avoided artists
36,lexical_overlap,ln_subject/object_swap,0,neutral,the N1 Vt1 the N2.,the N2 Vt1 the N1.,"the N1 Vt1 the N2 , if the N1 and the N2 are swapped , then we do not know whether the N2 Vt1 the N1.",N1 Vt1 N2 N1 N2 not know N2 Vt1 N1,"['N1', 'N2', 'Vt1']",the penciller advised the counselors .,the counselors advised the penciller .,the penciller and the counselors are swapped and the penciller advised the counselors does not imply the counselors advised the penciller .,penciller advised counselors not counselors advised penciller
37,subsequence,se_adjective,0,entailment,Adj1 Np1 Vi1.,Np1 Vi1.,Adj1 Np1 are still Np1.,Adj1 Np1 Np1,"['Adj1', 'Np1', 'Vi1']",important artists voted .,artists voted .,important artists voted implies the artists voted .,important artists
38,subsequence,se_adjective,1,entailment,Adj1 Np1 Vt1 the N2.,Np1 Vt1 the N2.,Adj1 Np1 are still Np1.,Adj1 Np1 Np1,"['Adj1', 'Np1', 'Vt1', 'N2']",popular artists admired the administrator .,artists admired the administrator .,popular artists admired the administrator implies the artists admired the administrator .,popular artists
39,subsequence,se_understood_object,0,entailment,the N1 Vunderstand1 the Vunderstand1_O1.,the N1 Vunderstand1.,Vunderstand1 the Vunderstand1_O1 is still Vunderstand1.,Vunderstand1 Vunderstand1_O1 Vunderstand1,"['N1', 'Vunderstand1_O1', 'Vunderstand1']",the tourists won the war .,the tourists won .,the tourists won the war implies the tourists won .,won war won
40,subsequence,se_relative_clause_on_obj,0,entailment,the N1 Vt1 the N2 Rels1 Vi2.,the N1 Vt1 the N2.,the N2 Rels1 Vi2 N2_Be1 still the N2.,N2 Vi2 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vi2']",the technologists brought the lawyer that performed .,the technologists brought the lawyer .,the lawyer that performed is the lawyer .,lawyer that performed
41,subsequence,se_relative_clause_on_obj,1,entailment,the N1 Vt1 the N2 Rels1 the N3 Vt2.,the N1 Vt1 the N2.,the N2 Rels1 the N3 Vt2 N2_Be1 still the N2.,N2 N3 Vt2 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vt2', 'N3']",the counselor affected the psychiatrist who the senator supported .,the counselor affected the psychiatrist .,the psychiatrist who the senator supported is the psychiatrist .,psychiatrist who the senator supported
42,subsequence,se_relative_clause_on_obj,2,entailment,the N1 Vt1 the N2 Rels1 Vt2 the N3.,the N1 Vt1 the N2.,the N2 Rels1 Vt2 the N3 N2_Be1 still the N2.,N2 Vt2 N3 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'Rels1', 'Vt2', 'N3']",the lyricist contacted the lyricists who supported the technologists .,the lyricist contacted the lyricists .,the lyricists who supported the technologists is the lyricists .,lyricists who supported the technologists .
43,subsequence,se_PP_on_obj,0,entailment,the N1 Vt1 the N2 P1 the N3.,the N1 Vt1 the N2.,the N2 P1 the N3 N2_Be1 still the N2.,N2 N3 N2,"['N1', 'Vt1', 'N2', 'N2_Be1', 'P1', 'N3']",the lyricists saw the stylist next to the photographer .,the lyricists saw the stylist .,the stylist next to the photographer is still the stylist .,stylist next to photographer
44,subsequence,se_conjunction,0,entailment,the N1 and the N2 Vi1.,the N2 Vi1.,the N2 N2_Be1 part of the N1 and the N2.,N2 N1 N2,"['N1', 'Vi1', 'N2', 'N2_Be1']",the director and the programmers existed .,the programmers existed .,the director and the programmers existed implies the programmers existed .,programmers director and programmers
45,subsequence,se_conjunction,1,entailment,the N1 and the N2 Vt1 the N3.,the N2 Vt1 the N3.,the N2 N2_Be1 part of the N1 and the N2.,N2 N1 N2,"['N1', 'Vt1', 'N2', 'N3', 'N2_Be1']",the planner and the programmer mentioned the counselor .,the programmer mentioned the counselor .,the planner and the programmer mentioned the counselor implies the programmer mentioned the counselor .,programmer planner and programmer
46,subsequence,se_conjunction,2,entailment,the N1 Vt1 the N2 and the N3.,the N1 Vt1 the N2.,the N2 N2_Be1 part of the N2 and the N3.,N2 N2 N3,"['N1', 'Vt1', 'N2', 'N3', 'N2_Be1']",the banker mentioned the judge and the engineers .,the banker mentioned the judge .,the banker mentioned the judge and the engineers implied the banker mentioned the judge .,judge judge and engineers
47,subsequence,sn_PP_on_subject,0,neutral,the N1 P1 the N2 Vi1.,the N2 Vi1.,"the N1 N1_Be1 P1 the N2 and the N1 Vi1 , we do not know whether the N2 Vi1.",N1 N2 N1 Vi1 not know N2 Vi1,"['N1', 'Vi1', 'N2', 'P1', 'N1_Be1']",the programmer next to the student sat .,the student sat .,the programmer next to the student is the programmer .,programmer sat
48,subsequence,sn_PP_on_subject,1,neutral,the N1 P1 the N2 Vt1 the N3.,the N2 Vt1 the N3.,"the N1 N1_Be1 P1 the N2 and the N1 Vt1 the N3 , we do not know whether the N2 Vt1 the N3.",N1 N2 N1 Vt1 N3 not know N2 Vt1 N3,"['N1', 'Vt1', 'N2', 'N3', 'P1', 'N1_Be1']",the psychotherapist next to the psychotherapists disturbed the students .,the psychotherapists disturbed the students .,the psychotherapist next to the psychotherapists is the psychotherapist .,psychotherapist disturbed students .
49,subsequence,sn_relative_clause_on_subject,0,neutral,the N1 Rels1 Vt1 the N2 Vi2.,the N2 Vi2.,"the N1 Rels1 Vt1 the N2 N1_Be1 still the N1 , so the N1 Vi2 and we do not know whether the N2 Vi2.",N1 Vt1 N2 N1 N1 Vi2 not know N2 Vi2,"['N1', 'Vt1', 'N2', 'Vi2', 'Rels1', 'N1_Be1']",the animators who recognized the actor talked .,the actor talked .,the animators who recognized the actor is the animators .,actor talked
50,subsequence,sn_relative_clause_on_subject,1,neutral,the N1 Rels1 Vt1 the N2 Vt2 the N3.,the N2 Vt2 the N3.,"the N1 Rels1 Vt1 the N2 N1_Be1 still the N1 , so the N1 Vt2 the N3 and we do not know whether the N2 Vt2 the N3.",N1 Vt1 N2 N1 N1 Vt2 N3 not know N2 Vt2 N3,"['N1', 'Vt1', 'N2', 'Vt2', 'Rels1', 'N3', 'N1_Be1']",the photojournalists that thanked the stylists introduced the lawyers .,the photojournalists introduced the lawyers .,the photojournalists that thanked the stylists is the photojournalists .,photojournalists introduced lawyers
51,subsequence,sn_past_participle,0,neutral,the N1 Vpp1 in the Nlocation2 Vi2.,the N1 Vpp1 in the Nlocation2.,the N1 N1_BePast1 Vpp1 in the Nlocation2 and we do not know whether the N1 Vpp1 in the Nlocation2.,N1 Vpp1 Nlocation2 not know N1 Vpp1 Nlocation2,"['N1', 'Nlocation2', 'Vpp1', 'Vi2', 'N1_BePast1']",the lyricists helped in the laboratory appeared .,the lyricists helped in the laboratory .,the lyricists either helped or someone helped the lyricists in the laboratory .,lyricists appeared
52,subsequence,sn_past_participle,1,neutral,the N1 Vpp1 in the Nlocation2 Vt2 the N3.,the N1 Vpp1 in the Nlocation2.,the N1 N1_BePast1 Vpp1 in the Nlocation2 and we do not know whether the N1 Vpp1 in the Nlocation2.,N1 Vpp1 Nlocation2 not know N1 Vpp1 Nlocation2,"['N1', 'Nlocation2', 'Vpp1', 'Vt2', 'N3', 'N1_BePast1']",the authors studied in the museum affected the essayists .,the authors studied in the museum .,the authors either studied or someone studied the authors in the museum .,authors affected essayists
53,subsequence,sn_past_participle,2,neutral,the N1 Vt1 the N2 Vpp2 in the Nlocation3.,the N2 Vpp2 in the Nlocation3.,the N2 N2_BePast1 Vpp2 in the Nlocation3 and we do not know whether the N2 Vpp2 in the Nlocation3.,N2 Vpp2 Nlocation3 not know N2 Vpp2 Nlocation3,"['N1', 'Nlocation3', 'Vt1', 'Vpp2', 'N2', 'N2_BePast1']",the engineers introduced the judge paid in the laboratory .,the judge paid in the laboratory .,the engineers introduced the judge paid in the laboratory does not imply the judge paid in the laboratory .,judge not laboratory
54,subsequence,sn_NP/Z,0,neutral,"Conj1 the N1 Vnpz1 , the N2 Vi2.",the N1 Vnpz1 the N2.,"the N2 Vi2 and the N1 Vnpz1 , we do not know whether the N1 Vnpz1 the N2.",N2 Vi2 N1 Vnpz1 not know N1 Vnpz1 N2,"['Conj1', 'N1', 'N2', 'Vnpz1', 'Vi2']",although the artisan fought the animator performed .,the artisan fought the animator .,the artisan fought the animator performed is different from the artisan fought the animator .,artisan fought animator performed
55,subsequence,sn_NP/Z,1,neutral,"Conj1 the N1 Vnpz1 , the N2 Vt2 the N3.",the N1 Vnpz1 the N2.,"the N2 Vt2 the N3 and the N1 Vnpz1 , we do not know whether the N1 Vnpz1 the N2.",N2 Vt2 N3 N1 Vnpz1 not know N1 Vnpz1 N2,"['Conj1', 'N1', 'N2', 'Vnpz1', 'Vt2', 'N3']",while the dancer presented the designers deceived the lyricists .,the dancer presented the designers .,the dancer presented the designers deceived the lyricists is different from the dancer presented the designers .,dancer presented designers deceived lyricists
56,subsequence,sn_NP/S,0,neutral,the N1 Vnps1 the N2 Vi2.,the N1 Vnps1 the N2.,"the N1 Vnps1 the N2 Vi2 , we do not know whether the N1 Vnps1 the person as in the N2.",N1 Vnps1 N2 Vi2 not know N1 Vnps1 N2,"['N1', 'N2', 'Vnps1', 'Vi2']",the doctor heard the worker grew .,the doctor heard the worker .,the doctor heard the worker grew is different from the doctor heard the worker .,worker not worker grew
57,subsequence,sn_NP/S,1,neutral,the N1 Vnps1 the N2 Vt2 the N3.,the N1 Vnps1 the N2.,"the N1 Vnps1 the N2 Vt2 the N3 , we do not know whether the N1 Vnps1 the person as in the N2.",N1 Vnps1 N2 Vt2 N3 not know N1 Vnps1 N2,"['N1', 'N2', 'Vnps1', 'Vt2', 'N3']",the musicians knew the analyst needed the counselor .,the musicians knew the analyst .,the musicians knew the analyst needed the counselor is different from the musicians knew the analyst .,analyst not analyst needed the counselor
58,constituent,ce_after_since_clause,0,entailment,"Advoutent1 the N1 Vi1 , the N2 Vi2.",the N2 Vi2.,"the N1 Vi1 , so the N2 Vi2.",N1 Vi1 N2 Vi2,"['N1', 'N2', 'Vi1', 'Vi2', 'Advoutent1']","carelessly the musician shouted , the therapist existed .",the therapist existed .,"the musician shouted happened , so the therapist existed happened .",therapist existed
59,constituent,ce_after_since_clause,1,entailment,"Advoutent1 the N1 Vt1 the N3 , the N2 Vi2.",the N2 Vi2.,"the N1 Vt1 the N3 , so the N2 Vi2.",N1 Vt1 N3 N2 Vi2,"['N1', 'N2', 'Vt1', 'Vi2', 'N3', 'Advoutent1']","cheerfully the chaplain contacted the writers , the architects waited .",the architects waited .,"the chaplain contacted the writers happened , so the architects waited happened .",architects waited
